adduser	3.134
apt	2.6.1
base-files	12.4+deb12u13
base-passwd	3.6.1
bash	5.2.15-2+b10
bsdutils	1:2.38.1-5+deb12u3
ca-certificates	20230311+deb12u1
coreutils	9.1-1
dash	0.5.12-2
debconf	1.5.82
debian-archive-keyring	2023.3+deb12u2
debianutils	5.7-0.5~deb12u1
diffutils	1:3.8-4
dpkg	1.21.22
e2fsprogs	1.47.0-2+b2
ffmpeg	7:5.1.8-0+deb12u1
findutils	4.9.0-4
fontconfig	2.14.1-4
fontconfig-config	2.14.1-4
fonts-dejavu-core	2.37-6
gcc-12-base:amd64	12.2.0-14+deb12u1
gpgv	2.2.40-1.1+deb12u2
grep	3.8-5
gzip	1.12-1
hostname	3.23+nmu1
init-system-helpers	1.65.2+deb12u1
libacl1:amd64	2.3.1-3
libaom3:amd64	3.6.0-1+deb12u2
libapt-pkg6.0:amd64	2.6.1
libasound2:amd64	1.2.8-1+b1
libasound2-data	1.2.8-1
libass9:amd64	1:0.17.1-1
libasyncns0:amd64	0.8-6+b3
libattr1:amd64	1:2.5.1-4
libaudit-common	1:3.0.9-1
libaudit1:amd64	1:3.0.9-1
libavc1394-0:amd64	0.5.4-5
libavcodec59:amd64	7:5.1.8-0+deb12u1
libavdevice59:amd64	7:5.1.8-0+deb12u1
libavfilter8:amd64	7:5.1.8-0+deb12u1
libavformat59:amd64	7:5.1.8-0+deb12u1
libavutil57:amd64	7:5.1.8-0+deb12u1
libblas3:amd64	3.11.0-2
libblkid1:amd64	2.38.1-5+deb12u3
libbluray2:amd64	1:1.3.4-1
libbrotli1:amd64	1.0.9-2+b6
libbs2b0:amd64	3.1.0+dfsg-7
libbsd0:amd64	0.11.7-2
libbz2-1.0:amd64	1.0.8-5+b1
libc-bin	2.36-9+deb12u13
libc6:amd64	2.36-9+deb12u13
libcaca0:amd64	0.99.beta20-3
libcairo-gobject2:amd64	1.16.0-7
libcairo2:amd64	1.16.0-7
libcap-ng0:amd64	0.8.3-1+b3
libcap2:amd64	1:2.66-4+deb12u2+b2
libcdio-cdda2:amd64	10.2+2.0.1-1
libcdio-paranoia2:amd64	10.2+2.0.1-1
libcdio19:amd64	2.1.0-4
libchromaprint1:amd64	1.5.1-2+b1
libcjson1:amd64	1.7.15-1+deb12u4
libcodec2-1.0:amd64	1.0.5-1
libcom-err2:amd64	1.47.0-2+b2
libcrypt1:amd64	1:4.4.33-2
libdatrie1:amd64	0.2.13-2+b1
libdav1d6:amd64	1.0.0-2+deb12u1
libdb5.3:amd64	5.3.28+dfsg2-1
libdbus-1-3:amd64	1.14.10-1~deb12u1
libdc1394-25:amd64	2.2.6-4
libdebconfclient0:amd64	0.270
